
Brand,Type,Color,Construction Year,Odometer,Ask Price,Days Until TESTING,HP
Peugeot 106,1.0,blue,2002,166879,999000,138,60
Bugatti 106,1.0,blue,1998,234484,999000,346,60
Volkwagen 106,1.1,black,1997,219752,500000,-5,60
Volkwagen 106,1.1,red,2001,223692,75000,-87,60
Volkwagen 106,1.1,grey,2002,120275,1650000,356,59
Peugeot 106,1.1,red,2003,131358,1399000,266,60
Bugatti 106,1.1,green,1999,304277,799000,173,57
Porsche 106,1.4,green,1998,93685,1300000,0,75
Bugatti 106,1.1,white,2002,225935,950000,113,60
Toyota 106,1.4,green,1997,252319,650000,133,75
Peugeot 106,1.0,black,1998,220000,700000,82,50
Toyota 106,1.1,black,1997,212000,700000,75,60
Porsche 106,1.1,black,2003,255134,799000,197,60
